@relation 'acciones'
@attribute 'accion' { 'luz', 'calefaccion', 'aire-acondicionado', 'planchado', 'secado'}
@attribute 'estancia' {'salon', 'cocina', 'dormitorio_principal', 'pasillo', 'dormitorio_secundario' }
@attribute 'tiempo' numeric
@attribute 'tarifa' numeric
@attribute 'usuario' {'u1','u2','u3','u4'}
@data
'luz','salon',98,0.139,'u1'
'calefaccion','dormitorio_principal',81,0.139,'u1'
'planchado','dormitorio_secundario',1,0.15,'u1'
'luz','salon',34,0.139,'u1'
'calefaccion','dormitorio_principal',36,0.139,'u1'
'planchado','dormitorio_secundario',83,0.099,'u1'
'secado','salon',46,0.15,'u1'
'calefaccion','dormitorio_principal',48,0.15,'u1'
'calefaccion','salon',86,0.15,'u1'
'planchado','dormitorio_secundario',68,0.15,'u1'
'luz','salon',87,0.139,'u1'
'planchado','pasillo',117,0.099,'u1'
'planchado','pasillo',108,0.099,'u1'
'luz','cocina',15,0.099,'u1'
'secado','salon',65,0.139,'u1'
'planchado','dormitorio_principal',69,0.15,'u1'
'secado','dormitorio_secundario',51,0.099,'u1'
'calefaccion','cocina',16,0.15,'u1'
'calefaccion','pasillo',109,0.099,'u1'
'secado','dormitorio_secundario',29,0.139,'u1'
'calefaccion','cocina',42,0.139,'u1'
'calefaccion','pasillo',54,0.099,'u1'
'planchado','dormitorio_secundario',77,0.15,'u1'
'planchado','salon',28,0.15,'u1'
'calefaccion','salon',52,0.099,'u1'
'calefaccion','dormitorio_secundario',20,0.139,'u1'
'luz','salon',81,0.099,'u1'
'planchado','dormitorio_secundario',89,0.139,'u1'
'secado','pasillo',31,0.099,'u1'
'luz','dormitorio_principal',57,0.15,'u1'
'calefaccion','pasillo',31,0.139,'u1'
'planchado','pasillo',30,0.15,'u1'
'calefaccion','salon',82,0.15,'u1'
'planchado','dormitorio_secundario',114,0.099,'u1'
'secado','salon',104,0.15,'u1'
'planchado','cocina',2,0.099,'u1'
'calefaccion','salon',113,0.099,'u1'
'planchado','dormitorio_principal',47,0.139,'u1'
'luz','dormitorio_principal',120,0.15,'u1'
'planchado','cocina',66,0.139,'u1'
'luz','salon',104,0.099,'u1'
'luz','pasillo',23,0.139,'u1'
'calefaccion','dormitorio_principal',6,0.15,'u1'
'secado','salon',37,0.099,'u1'
'secado','salon',28,0.15,'u1'
'planchado','dormitorio_secundario',36,0.15,'u1'
'planchado','dormitorio_principal',47,0.15,'u1'
'planchado','dormitorio_secundario',98,0.15,'u1'
'planchado','cocina',45,0.139,'u1'
'secado','salon',78,0.099,'u1'
'luz','cocina',58,0.139,'u1'
'secado','cocina',70,0.139,'u1'
'planchado','dormitorio_secundario',90,0.139,'u1'
'luz','pasillo',101,0.15,'u1'
'luz','dormitorio_principal',47,0.15,'u1'
'calefaccion','dormitorio_principal',1,0.15,'u1'
'calefaccion','cocina',7,0.099,'u1'
'luz','dormitorio_secundario',95,0.099,'u1'
'luz','cocina',104,0.15,'u1'
'luz','dormitorio_secundario',13,0.15,'u1'
'planchado','dormitorio_principal',65,0.15,'u1'
'luz','dormitorio_secundario',85,0.139,'u1'
'luz','dormitorio_secundario',64,0.139,'u1'
'calefaccion','cocina',72,0.15,'u1'
'planchado','pasillo',53,0.15,'u1'
'secado','salon',20,0.099,'u1'
'secado','cocina',97,0.099,'u1'
'calefaccion','dormitorio_principal',4,0.15,'u1'
'luz','dormitorio_secundario',16,0.15,'u1'
'luz','dormitorio_principal',56,0.099,'u1'
'secado','dormitorio_principal',75,0.139,'u1'
'planchado','dormitorio_principal',46,0.099,'u1'
'planchado','pasillo',40,0.099,'u1'
'planchado','cocina',96,0.139,'u1'
'secado','dormitorio_principal',1,0.139,'u1'
'secado','dormitorio_principal',35,0.139,'u1'
'luz','dormitorio_principal',103,0.099,'u1'
'secado','salon',95,0.099,'u1'
'calefaccion','cocina',89,0.139,'u1'
'planchado','cocina',82,0.099,'u1'
'planchado','dormitorio_principal',55,0.099,'u1'
'luz','dormitorio_principal',106,0.099,'u1'
'calefaccion','dormitorio_principal',60,0.099,'u1'
'calefaccion','cocina',45,0.15,'u1'
'calefaccion','dormitorio_principal',1,0.099,'u1'
'luz','dormitorio_principal',91,0.099,'u1'
'luz','pasillo',69,0.099,'u1'
'planchado','salon',36,0.139,'u1'
'calefaccion','dormitorio_principal',16,0.139,'u1'
'secado','dormitorio_principal',45,0.15,'u1'
'secado','pasillo',120,0.15,'u1'
'luz','pasillo',13,0.099,'u1'
'planchado','dormitorio_secundario',26,0.15,'u1'
'secado','salon',103,0.139,'u1'
'calefaccion','salon',73,0.15,'u1'
'luz','dormitorio_secundario',117,0.099,'u1'
'calefaccion','dormitorio_principal',19,0.15,'u1'
'calefaccion','dormitorio_principal',61,0.099,'u1'
'calefaccion','dormitorio_principal',108,0.099,'u1'
'secado','dormitorio_principal',36,0.139,'u1'
'planchado','dormitorio_principal',66,0.15,'u1'
'calefaccion','dormitorio_secundario',83,0.099,'u1'
'luz','salon',23,0.139,'u1'
'secado','dormitorio_principal',18,0.099,'u1'
'secado','dormitorio_principal',43,0.099,'u1'
'calefaccion','dormitorio_principal',22,0.15,'u1'
'secado','dormitorio_principal',69,0.139,'u1'
'secado','salon',5,0.15,'u1'
'secado','dormitorio_secundario',94,0.15,'u1'
'luz','cocina',11,0.139,'u1'
