Centroid,Accion,Estancia,Tiempo,Tarifa,Usuario,-Uso-,-Tarifa-
0,planchado,dormitorio_principal,61.24169986719787,0.11196281540504602,u1,BUEN USO,
1,calefaccion,salon,26.380546075085324,0.13840102389078657,u1,MAL USO,MEDIA
2,luz,salon,56.759413202933985,0.13985330073349844,u1,MAL USO,MEDIA
3,planchado,cocina,56.287175989085945,0.1373983628922259,u1,MAL USO,MEDIA
4,calefaccion,dormitorio_principal,58.35492457852706,0.11730257320319482,u1,MAL USO,
5,secado,pasillo,78.32347616173809,0.1374333132166589,u1,MAL USO,MEDIA
6,secado,cocina,48.1719690455718,0.14612209802235857,u1,MAL USO,ALTA
7,luz,cocina,61.19434628975265,0.11780212014134349,u1,MAL USO,
8,calefaccion,salon,94.61925795053004,0.14189487632508993,u1,MAL USO,MEDIA
9,secado,cocina,59.43545454545455,0.09900000000000062,u1,BUEN USO,
Centroid,Accion,Estancia,Tiempo,Tarifa,Usuario,-Uso-,-Tarifa-
0,planchado,dormitorio_principal,61.24169986719787,0.11196281540504602,u1,BUEN USO,
1,calefaccion,salon,26.380546075085324,0.13840102389078657,u1,MAL USO,MEDIA
2,luz,salon,56.759413202933985,0.13985330073349844,u1,MAL USO,MEDIA
3,planchado,cocina,56.287175989085945,0.1373983628922259,u1,MAL USO,MEDIA
4,calefaccion,dormitorio_principal,58.35492457852706,0.11730257320319482,u1,MAL USO,
5,secado,pasillo,78.32347616173809,0.1374333132166589,u1,MAL USO,MEDIA
6,secado,cocina,48.1719690455718,0.14612209802235857,u1,MAL USO,ALTA
7,luz,cocina,61.19434628975265,0.11780212014134349,u1,MAL USO,
8,calefaccion,salon,94.61925795053004,0.14189487632508993,u1,MAL USO,MEDIA
9,secado,cocina,59.43545454545455,0.09900000000000062,u1,BUEN USO,
Centroid,Accion,Estancia,Tiempo,Tarifa,Usuario,-Uso-,-Tarifa-
0,planchado,dormitorio_principal,61.24169986719787,0.11196281540504602,u1,BUEN USO,
1,calefaccion,salon,26.380546075085324,0.13840102389078657,u1,MAL USO,MEDIA
2,luz,salon,56.759413202933985,0.13985330073349844,u1,MAL USO,MEDIA
3,planchado,cocina,56.287175989085945,0.1373983628922259,u1,MAL USO,MEDIA
4,calefaccion,dormitorio_principal,58.35492457852706,0.11730257320319482,u1,MAL USO,
5,secado,pasillo,78.32347616173809,0.1374333132166589,u1,MAL USO,MEDIA
6,secado,cocina,48.1719690455718,0.14612209802235857,u1,MAL USO,ALTA
7,luz,cocina,61.19434628975265,0.11780212014134349,u1,MAL USO,
8,calefaccion,salon,94.61925795053004,0.14189487632508993,u1,MAL USO,MEDIA
9,secado,cocina,59.43545454545455,0.09900000000000062,u1,BUEN USO,
Centroid,Accion,Estancia,Tiempo,Tarifa,Usuario,-Uso-,-Tarifa-
0,planchado,dormitorio_principal,58.361067503924644,0.12964678178963895,u1,MAL USO,MEDIA
1,calefaccion,salon,60.47599164926931,0.09899999999999903,u1,MAL USO,
2,luz,salon,59.84992784992785,0.13070851370851383,u1,MAL USO,MEDIA
3,planchado,cocina,66.1841620626151,0.14564456721915298,u1,MAL USO,ALTA
4,calefaccion,dormitorio_principal,57.49010654490107,0.13039573820395722,u1,MAL USO,MEDIA
5,secado,pasillo,74.43614001892148,0.1451087984862836,u1,MAL USO,ALTA
6,secado,cocina,61.208747514910534,0.14525447316103385,u1,MAL USO,ALTA
7,luz,dormitorio_principal,60.03672612801679,0.1215393494228757,u1,MAL USO,MEDIA
8,calefaccion,salon,41.0419447092469,0.14486177311725632,u1,MAL USO,ALTA
9,secado,cocina,69.63071895424837,0.09900000000000017,u1,BUEN USO,
10,planchado,pasillo,64.65255474452555,0.1284569343065695,u1,MAL USO,MEDIA
11,planchado,cocina,71.12025316455696,0.09900000000000017,u1,BUEN USO,
12,planchado,dormitorio_secundario,65.3395399780942,0.13474808324205928,u1,MAL USO,MEDIA
13,secado,dormitorio_secundario,60.25993883792049,0.1293119266055046,u1,MAL USO,MEDIA
14,secado,pasillo,51.732374100719426,0.09899999999999878,u1,BUEN USO,
15,luz,cocina,96.424543946932,0.13688391376451103,u1,MAL USO,MEDIA
16,calefaccion,dormitorio_secundario,60.09969325153374,0.12757822085889575,u1,MAL USO,MEDIA
17,luz,cocina,27.625514403292183,0.13740192043895763,u1,MAL USO,MEDIA
18,secado,dormitorio_principal,62.55507868383405,0.1292660944206012,u1,MAL USO,MEDIA
19,calefaccion,cocina,58.67799113737075,0.13176366322008884,u1,MAL USO,MEDIA
Centroid,Accion,Estancia,Tiempo,Tarifa,Usuario,-Uso-,-Tarifa-
0,planchado,dormitorio_principal,61.24169986719787,0.11196281540504602,u1,BUEN USO,
1,calefaccion,salon,26.380546075085324,0.13840102389078657,u1,MAL USO,MEDIA
2,luz,salon,56.759413202933985,0.13985330073349844,u1,MAL USO,MEDIA
3,planchado,cocina,56.287175989085945,0.1373983628922259,u1,MAL USO,MEDIA
4,calefaccion,dormitorio_principal,58.35492457852706,0.11730257320319482,u1,MAL USO,
5,secado,pasillo,78.32347616173809,0.1374333132166589,u1,MAL USO,MEDIA
6,secado,cocina,48.1719690455718,0.14612209802235857,u1,MAL USO,ALTA
7,luz,cocina,61.19434628975265,0.11780212014134349,u1,MAL USO,
8,calefaccion,salon,94.61925795053004,0.14189487632508993,u1,MAL USO,MEDIA
9,secado,cocina,59.43545454545455,0.09900000000000062,u1,BUEN USO,
Centroid,Accion,Estancia,Tiempo,Tarifa,Usuario,-Uso-,-Tarifa-
0,planchado,dormitorio_principal,61.24169986719787,0.11196281540504602,u1,BUEN USO,
1,calefaccion,salon,26.380546075085324,0.13840102389078657,u1,MAL USO,MEDIA
2,luz,salon,56.759413202933985,0.13985330073349841,u1,MAL USO,MEDIA
3,planchado,cocina,56.287175989085945,0.1373983628922259,u1,MAL USO,MEDIA
4,calefaccion,dormitorio_principal,58.35492457852706,0.11730257320319484,u1,MAL USO,
5,secado,pasillo,78.32347616173809,0.1374333132166589,u1,MAL USO,MEDIA
6,secado,cocina,48.1719690455718,0.14612209802235857,u1,MAL USO,ALTA
7,luz,cocina,61.19434628975265,0.11780212014134352,u1,MAL USO,
8,calefaccion,salon,94.61925795053004,0.14189487632508993,u1,MAL USO,MEDIA
9,secado,cocina,59.43545454545455,0.09900000000000062,u1,BUEN USO,
Centroid,Accion,Estancia,Tiempo,Tarifa,Usuario,-Uso-,-Tarifa-
2,luz,salon,56.759413202933985,0.13985330073349841,u1,MAL USO,MEDIA
5,secado,pasillo,78.32347616173809,0.1374333132166589,u1,MAL USO,MEDIA
0,planchado,dormitorio_principal,61.24169986719787,0.11196281540504602,u1,BUEN USO,
3,planchado,cocina,56.287175989085945,0.1373983628922259,u1,MAL USO,MEDIA
1,calefaccion,salon,26.380546075085324,0.13840102389078657,u1,MAL USO,MEDIA
6,secado,cocina,48.1719690455718,0.14612209802235857,u1,MAL USO,ALTA
8,calefaccion,salon,94.61925795053004,0.14189487632508993,u1,MAL USO,MEDIA
4,calefaccion,dormitorio_principal,58.35492457852706,0.11730257320319484,u1,MAL USO,
9,secado,cocina,59.43545454545455,0.09900000000000062,u1,BUEN USO,
Centroid,Accion,Estancia,Tiempo,Tarifa,Usuario,-Uso-,-Tarifa-
2,luz,salon,56.759413202933985,0.13985330073349841,u1,MAL USO,MEDIA
5,secado,pasillo,78.32347616173809,0.1374333132166589,u1,MAL USO,MEDIA
0,planchado,dormitorio_principal,61.24169986719787,0.11196281540504602,u1,BUEN USO,
3,planchado,cocina,56.287175989085945,0.1373983628922259,u1,MAL USO,MEDIA
1,calefaccion,salon,26.380546075085324,0.13840102389078657,u1,MAL USO,MEDIA
6,secado,cocina,48.1719690455718,0.14612209802235857,u1,MAL USO,ALTA
8,calefaccion,salon,94.61925795053004,0.14189487632508993,u1,MAL USO,MEDIA
4,calefaccion,dormitorio_principal,58.35492457852706,0.11730257320319484,u1,MAL USO,
9,secado,cocina,59.43545454545455,0.09900000000000062,u1,BUEN USO,
Centroid,Accion,Estancia,Tiempo,Tarifa,Usuario,-Uso-,-Tarifa-
2,luz,salon,56.759413202933985,0.13985330073349841,u1,MAL USO,MEDIA
5,secado,pasillo,78.32347616173809,0.1374333132166589,u1,MAL USO,MEDIA
0,planchado,dormitorio_principal,61.24169986719787,0.11196281540504602,u1,BUEN USO,
3,planchado,cocina,56.287175989085945,0.1373983628922259,u1,MAL USO,MEDIA
